PDF File Name,Cosine Similarity
95792386.pdf,0.9580070916059967
11835339.pdf,0.9545982951347798
10984392.pdf,0.95402052550085
13215696.pdf,0.953314552601945
17983957.pdf,0.9494567521131086
26919036.pdf,0.9485015795398971
15281412.pdf,0.9433073402115144
15535920.pdf,0.9427774455708878
29723311.pdf,0.9422957970443193
29297393.pdf,0.9404291745857746
48533663.pdf,0.9387746940463839
57601040.pdf,0.9375045989879605
27726066.pdf,0.9373560385108368
28951817.pdf,0.9346542040025216
22259768.pdf,0.9327341725914099
17307206.pdf,0.9325982472887417
13586069.pdf,0.9325018946437504
43311839.pdf,0.9316087922308495
31395742.pdf,0.9315795929821725
88907739.pdf,0.9300330019093317
65062795.pdf,0.9293104540157979
13454871.pdf,0.9291158713580431
12955994.pdf,0.9286162866208836
92246939.pdf,0.9272851905270888
13569152.pdf,0.9266894753510403
12526702.pdf,0.9257007485313431
22485475.pdf,0.9246843303524503
26167298.pdf,0.924439281493518
69181350.pdf,0.9240744096630817
93459677.pdf,0.9233280268838077
15602094.pdf,0.9225127036208035
24828381.pdf,0.9207885003050365
22571461.pdf,0.9204087117442274
23302948.pdf,0.9169670434261943
22556198.pdf,0.9168551718720994
39308779.pdf,0.9167272904505981
21512769.pdf,0.9151349806585849
56792999.pdf,0.9147290577615494
21366189.pdf,0.9145516023504926
27788376.pdf,0.9141050846377272
25258040.pdf,0.913226702525624
31201660.pdf,0.9125067538158007
73075521.pdf,0.912362144350372
34875813.pdf,0.9105588459011469
37818861.pdf,0.9101482353417765
95429627.pdf,0.9052460273720195
20176584.pdf,0.9051605810673357
11415967.pdf,0.90444753528145
30863060.pdf,0.9032246259414428
30083884.pdf,0.9003670161090394
31169070.pdf,0.8987770423817547
27096471.pdf,0.8986578111421268
32433431.pdf,0.898657322087296
15119529.pdf,0.898357451430233
26234972.pdf,0.8982976430980545
11333660.pdf,0.8976282327273651
10332998.pdf,0.8975244278738438
99714410.pdf,0.8971144975322046
32637306.pdf,0.8962129745227797
80527194.pdf,0.8953467583144783
20314980.pdf,0.8951687163374666
18227306.pdf,0.8948766691499117
67406885.pdf,0.8947035783154967
25694422.pdf,0.8943343285532529
18856440.pdf,0.8913654030030722
12374933.pdf,0.8887925661125984
13313917.pdf,0.8885681736492457
38165833.pdf,0.8883177531245581
88691367.pdf,0.8877091022809953
71888547.pdf,0.8872328984419564
21568833.pdf,0.8867445757212324
51724595.pdf,0.8839203432903282
95350373.pdf,0.8837621747950546
38896303.pdf,0.883241762465556
29647215.pdf,0.8829747521983706
39441617.pdf,0.8801523276846255
28243590.pdf,0.879788269941213
38457612.pdf,0.8785845466034492
26291616.pdf,0.8778624344772872
79570655.pdf,0.8732068223438216
91189201.pdf,0.8727956197858695
12251115.pdf,0.8724294022622948
31016926.pdf,0.8721511049194064
93349646.pdf,0.8715138272780607
29770086.pdf,0.8713088262925652
63670997.pdf,0.8694927812733245
78016758.pdf,0.8656959981676561
57364820.pdf,0.8654330607408056
11020140.pdf,0.8641684737377551
17025292.pdf,0.8615388425868594
14593060.pdf,0.8594506457614283
14346702.pdf,0.8560782355270156
51432451.pdf,0.8541078966168723
24643412.pdf,0.8533150992762761
12897903.pdf,0.840946831350522
18079050.pdf,0.8401443066269689
14517953.pdf,0.835157084967174
38399177.pdf,0.8324802027385616
20574232.pdf,0.8308417380815785
43378989.pdf,0.8295122215123597
22351830.pdf,0.8229925164074445
21156767.pdf,0.8221296366875616
19936735.pdf,0.8105351606071483
29196643.pdf,0.8086133993086222
15699744.pdf,0.8058797963855199
31217840.pdf,0.7908642984280593
19161572.pdf,0.7858483881042639
33919379.pdf,0.7780428224835201
91116867.pdf,0.7776116047922825
15433732.pdf,0.771659581188842
15083600.pdf,0.7669879003558521
16964217.pdf,0.71089489074352
49777184.pdf,0.6533197517767446
25213006.pdf,0.5481131247839659
29076405.pdf,0.4027160981367711
