PDF File Name,Cosine Similarity
37370455.pdf,0.9242948247867522
15821633.pdf,0.9199488403016489
27558837.pdf,0.9185569236768654
37997506.pdf,0.917681791519511
23139819.pdf,0.9166345307830805
17556527.pdf,0.9152887717528814
17407184.pdf,0.9150527300257402
53640713.pdf,0.9126919068549707
12338274.pdf,0.912532583674427
15592167.pdf,0.9122860623796407
23246831.pdf,0.9120565429866178
34816637.pdf,0.9116788791476496
18569929.pdf,0.9113043040475332
21031285.pdf,0.9103886481973009
36425270.pdf,0.9098063207297828
34198885.pdf,0.9097753238297481
39115899.pdf,0.9091355064286092
18635654.pdf,0.9090534624541929
26975573.pdf,0.9083321445669847
28298773.pdf,0.9078854852841273
20082776.pdf,0.9068595105792697
28359817.pdf,0.9057238495789446
23438112.pdf,0.9054066281490991
63137898.pdf,0.9052714937110566
78403342.pdf,0.9051373032682264
21338490.pdf,0.904758147257948
19545827.pdf,0.9035833406676341
18669563.pdf,0.903532441532925
10554236.pdf,0.9031632068127009
18365791.pdf,0.9030401177161339
23513618.pdf,0.9027004534261518
20624984.pdf,0.9025800722881077
21853199.pdf,0.9017593082101728
25127518.pdf,0.8989060753956333
18132924.pdf,0.8985729738274482
25067742.pdf,0.8984334574004078
22465498.pdf,0.8971082287851926
23734441.pdf,0.8969148261705914
14449423.pdf,0.8968593438012812
25749150.pdf,0.8967258024000861
49997097.pdf,0.8965210343981015
30304575.pdf,0.895980895497331
39674178.pdf,0.8956117166249624
29456173.pdf,0.8954884377027117
27980446.pdf,0.8952881564712769
14055988.pdf,0.8951975236366769
26065877.pdf,0.8949468879176485
13491889.pdf,0.8946963241974377
25846894.pdf,0.8945992694798341
14496667.pdf,0.8943242624424228
21794875.pdf,0.8939997613295678
10674770.pdf,0.8936805984851502
20393721.pdf,0.8915454776656353
27573855.pdf,0.8913946973199547
21763056.pdf,0.8899475265724577
75286906.pdf,0.8899345028043804
14126433.pdf,0.8893113806428343
42487883.pdf,0.8890391206272215
59403481.pdf,0.8886778571897944
29050809.pdf,0.8884397995540069
13130984.pdf,0.8881146390329471
29999135.pdf,0.8881027338977469
28939941.pdf,0.8879274670760476
12780508.pdf,0.8878647312549091
25462793.pdf,0.8874023334740392
12065211.pdf,0.8868572335346709
23636277.pdf,0.8868178261999754
28969385.pdf,0.8862021582543427
30813919.pdf,0.8857780909597965
43685045.pdf,0.8855471916404544
14470533.pdf,0.88546864375522
50222417.pdf,0.8849895003773767
25867805.pdf,0.8833191327359681
14491649.pdf,0.8827794761064974
23416654.pdf,0.882427392543688
36024962.pdf,0.8818568048551702
12802330.pdf,0.8817633496649275
62809577.pdf,0.8808834425620125
11759079.pdf,0.8808703873236522
17306905.pdf,0.8792764396229497
25547145.pdf,0.878217046590697
98559931.pdf,0.8770894012585799
20253563.pdf,0.8765051943068332
25862026.pdf,0.8761095152133413
11163645.pdf,0.8755428430449645
38847011.pdf,0.8751157018305107
12202337.pdf,0.8743666479771185
49204385.pdf,0.8720097530622771
15289348.pdf,0.8715218767711199
22925443.pdf,0.8705475147919983
33527446.pdf,0.8687620240426817
13294301.pdf,0.866436198393571
15363277.pdf,0.8659390375921768
80053367.pdf,0.8657732816309293
29821051.pdf,0.8656149870328804
24103168.pdf,0.8636506397669734
15906625.pdf,0.8631573850926739
16237710.pdf,0.8629817003238117
14224370.pdf,0.8592060115406936
23387174.pdf,0.8578946405505281
19446337.pdf,0.8521471103568583
28614791.pdf,0.8514497308429058
13072019.pdf,0.8507798299517043
24817041.pdf,0.8497948787855696
78257294.pdf,0.8438156380115918
20345168.pdf,0.8402027429208615
24294778.pdf,0.8289094885804307
24799301.pdf,0.8181921841791828
35554162.pdf,0.8097088977651654
25935030.pdf,0.8073138721714785
31602598.pdf,0.8060466537119211
30361788.pdf,0.8020179519053077
87635012.pdf,0.7900901076841521
13701259.pdf,0.7715626307077165
24703009.pdf,0.7560412481869021
12442909.pdf,0.711613603674973
82649935.pdf,0.7079645793508809
27637576.pdf,0.703262307296316
