PDF File Name,Cosine Similarity
15180322.pdf,0.944620898534007
14663897.pdf,0.9425311718901102
62555739.pdf,0.9406729233446177
30337969.pdf,0.9373826476267764
10333299.pdf,0.9340601283236951
11444536.pdf,0.9335641230321753
21334981.pdf,0.932222647727738
53265899.pdf,0.9321713884824663
57262959.pdf,0.9313411195714607
20033302.pdf,0.9311044974379372
30311202.pdf,0.9309528280281467
20321582.pdf,0.9300226520136456
11209758.pdf,0.9300187319953467
29449419.pdf,0.9297168183894796
18036030.pdf,0.9285139933371587
27298953.pdf,0.9248686794448058
29775391.pdf,0.9245018466176149
21611637.pdf,0.9244448937684426
91591026.pdf,0.9244173164102191
21869994.pdf,0.9244145739620344
24221960.pdf,0.9237251386177896
23032276.pdf,0.9219725786336969
27909372.pdf,0.9216784205180604
21101152.pdf,0.9215312412817582
18825446.pdf,0.920868744518493
10653119.pdf,0.9207045777484251
27662298.pdf,0.9200807601880512
24709432.pdf,0.9198706831103063
48580330.pdf,0.9196514149648303
10001727.pdf,0.9191994244132375
34252537.pdf,0.9187870011303554
33964275.pdf,0.9185300682033953
23807940.pdf,0.9162628190183253
74522938.pdf,0.9152561957021861
28176889.pdf,0.9144149331520955
65373280.pdf,0.913906143027322
34452806.pdf,0.9135080199946006
10588874.pdf,0.9123549064651613
36366044.pdf,0.9119827739891619
92122785.pdf,0.9113799012163352
31547476.pdf,0.9100926211097944
13411858.pdf,0.9093978487227379
23591247.pdf,0.9087689058541951
12155206.pdf,0.9077510331005569
25128608.pdf,0.9064729470567441
23398733.pdf,0.9060454925091415
25924968.pdf,0.9060440459682282
13212436.pdf,0.9048879705018469
32605413.pdf,0.9043527997944617
10276858.pdf,0.9042749892826386
12420359.pdf,0.9037356880990458
12254068.pdf,0.9035988726756508
27820360.pdf,0.9031690456184269
10889157.pdf,0.901370724655604
16924102.pdf,0.9013336949508133
94047639.pdf,0.9009825489971014
21511817.pdf,0.9003169895055263
68338341.pdf,0.8974414931516229
47729453.pdf,0.8965550208319089
20691949.pdf,0.8963629161795479
11432686.pdf,0.8910398033607694
16804396.pdf,0.8909785964549042
13264154.pdf,0.8886817824209092
35157762.pdf,0.8884804653980789
92985983.pdf,0.8811959212843523
11121498.pdf,0.8809493969568548
19951766.pdf,0.8809448973416496
19268120.pdf,0.879843428356134
61322296.pdf,0.8790533899522582
25452321.pdf,0.875137987091429
51554903.pdf,0.8750975190435599
18480859.pdf,0.8730673121289427
29990140.pdf,0.8701487997403041
29072179.pdf,0.8689638519479718
21904897.pdf,0.8684559978284114
29772450.pdf,0.8673496116946131
22349169.pdf,0.8661398659659921
15354126.pdf,0.8661259467344266
16855929.pdf,0.8638409633405097
47603843.pdf,0.861809481440254
37231163.pdf,0.8583179360119852
27831220.pdf,0.8574030544249767
91268638.pdf,0.8536179972005336
47317494.pdf,0.8519164512871455
12717345.pdf,0.8466308218657624
28230807.pdf,0.844467590366689
30128072.pdf,0.8412007331734249
26189601.pdf,0.8410287387223123
29784524.pdf,0.8401072244716015
25953797.pdf,0.8350293688605883
28396528.pdf,0.8288376884926322
30826569.pdf,0.8281792598919101
91072502.pdf,0.8271112097543483
23568731.pdf,0.8255517978990526
32518109.pdf,0.8248964283169888
81373857.pdf,0.824122273879021
38309905.pdf,0.8229339975064743
28424982.pdf,0.8223569008494729
19831366.pdf,0.8210218227822114
23841877.pdf,0.8174009464141204
16066857.pdf,0.8162930519058359
29211359.pdf,0.8144972442726902
23185829.pdf,0.8131736555988852
19285236.pdf,0.8116204684374616
13095891.pdf,0.8075383597859069
20817322.pdf,0.8021427661091268
16594812.pdf,0.7972111101657939
28092317.pdf,0.7912683554721323
15261348.pdf,0.788195778893642
22561438.pdf,0.7827386517320611
16248476.pdf,0.764274376051495
86551046.pdf,0.7614067469470085
26718039.pdf,0.7408905983732781
19007667.pdf,0.7408905983732781
14569498.pdf,0.7109823620388913
21622444.pdf,0.6795335275528323
35468363.pdf,0.6231555607308559
24673903.pdf,0.5868351976126489
