PDF File Name,Cosine Similarity
14064815.pdf,0.9636860782215233
13342150.pdf,0.9609387739277153
35474904.pdf,0.9576366116264056
19926135.pdf,0.9562021521335522
54067174.pdf,0.9561573248926274
17021141.pdf,0.953756581749502
38291889.pdf,0.9524869779267926
22042181.pdf,0.9521395706780239
78538268.pdf,0.9512196434414543
15727656.pdf,0.9510687937687834
21614256.pdf,0.9505937453937593
13115648.pdf,0.9485503118656272
28974459.pdf,0.9483594514654109
75435017.pdf,0.9480763696769574
11963737.pdf,0.9477054353249468
34970271.pdf,0.9476806237261788
11174187.pdf,0.9475925532986432
25873425.pdf,0.9475129432188345
46772262.pdf,0.9473113592114724
23577836.pdf,0.9469960121129322
23804341.pdf,0.9460342366704484
24124250.pdf,0.9456694631636768
38698573.pdf,0.9446243878368897
15958967.pdf,0.9438868997922409
77439230.pdf,0.9410350964559181
19108760.pdf,0.9402151760288092
97405769.pdf,0.9399874022936816
11188218.pdf,0.9395365538689043
17847636.pdf,0.9386155595227695
14445309.pdf,0.9381686301515514
75057933.pdf,0.9370749026146898
22259475.pdf,0.9365931729122869
20765795.pdf,0.9359127891307132
26456474.pdf,0.935797464910791
13809698.pdf,0.9338579934337975
24946537.pdf,0.9337198786932813
37348041.pdf,0.9337161315232807
20272792.pdf,0.9319575025973439
29173771.pdf,0.9319098493213593
53169257.pdf,0.9314565125547369
80503242.pdf,0.9312634209205501
11773767.pdf,0.9312438558269108
28206098.pdf,0.9307857708511927
28635795.pdf,0.929686191320636
17254634.pdf,0.9295180141755301
42164460.pdf,0.9292422989032006
24763208.pdf,0.9289849723516952
28871170.pdf,0.9283276607706132
74126637.pdf,0.9282876970675268
20400279.pdf,0.9274935858815084
19063156.pdf,0.9273869268653072
36694627.pdf,0.926754605275681
95970987.pdf,0.9266674660155904
14708590.pdf,0.9260815469425374
20544228.pdf,0.9249475772260882
13909762.pdf,0.9235106387336729
37333719.pdf,0.9231268703814031
24695561.pdf,0.9230563189581568
37640804.pdf,0.9228383185111624
24410405.pdf,0.9226598683047413
15313140.pdf,0.9226565126011695
19234823.pdf,0.9224076952871155
17911230.pdf,0.9215199202734019
27182111.pdf,0.920398964607696
36392131.pdf,0.9184225823486902
89508407.pdf,0.9177671302750738
17165107.pdf,0.9175047335028976
72652441.pdf,0.9174403062775502
14146106.pdf,0.9155917501368148
91051945.pdf,0.9148710898119874
35344611.pdf,0.9142158983657999
44115326.pdf,0.9128765804158404
47133747.pdf,0.9126852020786366
10659182.pdf,0.9123439139485287
20604208.pdf,0.9114189488522447
32965335.pdf,0.9104372579018822
29926588.pdf,0.9100107396748021
18090899.pdf,0.9086696659222712
49486820.pdf,0.9076192048255161
13593241.pdf,0.9075972877345444
22391901.pdf,0.9063545326650625
23427369.pdf,0.904957234027773
20138606.pdf,0.9046219851772808
12544735.pdf,0.904114552050948
24754689.pdf,0.9040741515285524
10344379.pdf,0.9035865218529601
18997135.pdf,0.9030308145514507
38059130.pdf,0.902647687617198
95714702.pdf,0.9016161561782454
28111403.pdf,0.8979465146189567
24588864.pdf,0.8969796201278959
34327438.pdf,0.8948999600005659
40088790.pdf,0.8933617136989445
14176254.pdf,0.8926338840639858
16332348.pdf,0.8914388334730626
75950464.pdf,0.8871959527876002
30741799.pdf,0.8865536169523416
90468982.pdf,0.8828836297632129
26071861.pdf,0.8781347108802449
13072354.pdf,0.8754767928610074
74191424.pdf,0.8745642318938427
18725071.pdf,0.8727775622177656
49475708.pdf,0.8679493480383558
10186968.pdf,0.8673878357576073
38860712.pdf,0.8669748655112783
31242382.pdf,0.8668540760625579
37560528.pdf,0.8665524532742824
93512385.pdf,0.8539056987616642
29415426.pdf,0.8489569555321619
19518606.pdf,0.8443810517089912
15337481.pdf,0.8436953361210522
20324037.pdf,0.8409728290932874
29177904.pdf,0.8345892844329201
10818478.pdf,0.8220942258275695
12171093.pdf,0.8142545923315181
73448369.pdf,0.7888613870862029
13967854.pdf,0.783771615657924
31040875.pdf,0.7833450830449351
