PDF File Name,Cosine Similarity
34046031.pdf,0.9466313648318536
31813535.pdf,0.9398873300635191
38688388.pdf,0.9397672667083605
12546838.pdf,0.9395840573892387
27213082.pdf,0.9389416845275141
14055971.pdf,0.9387210000321804
15811992.pdf,0.9387198202411577
20633855.pdf,0.93868984742579
16519708.pdf,0.9380186576891749
20748929.pdf,0.9377818716896223
19557384.pdf,0.9371341780430495
10228751.pdf,0.936746085860221
20357858.pdf,0.9365718457750902
11289482.pdf,0.9356478231764197
17597372.pdf,0.9356073954563828
37521676.pdf,0.9354989097351782
22765255.pdf,0.9335877925241446
65708020.pdf,0.9324537452884107
59696315.pdf,0.9315625407711545
67501448.pdf,0.9303919984201541
16091352.pdf,0.9297877913991726
20553895.pdf,0.9296169294939379
25397102.pdf,0.9294899944538049
10541358.pdf,0.9292456334605101
10501991.pdf,0.9286698524304242
31638814.pdf,0.9282611892401109
27004930.pdf,0.9278922457682051
14861855.pdf,0.9276710275591759
24647386.pdf,0.9274944996354999
17095812.pdf,0.9262158704625576
91467795.pdf,0.9238344349384793
79759716.pdf,0.9220419972620268
10235211.pdf,0.9218568643840725
27375577.pdf,0.9214652940057184
14871762.pdf,0.9212824398412317
80275976.pdf,0.9210112876532814
12230301.pdf,0.920334118864226
81310245.pdf,0.9196097934038645
20427934.pdf,0.919367132160267
12059198.pdf,0.918781750127483
14726000.pdf,0.9184391689164801
34797369.pdf,0.9175008742551691
23396633.pdf,0.9164463803994582
77576845.pdf,0.9145063840662002
16694152.pdf,0.9141748585372266
27139412.pdf,0.9134896849497468
29014805.pdf,0.913303023168004
10289113.pdf,0.9121437168940831
26896699.pdf,0.9106207866420456
61677751.pdf,0.9090599895867894
11088337.pdf,0.9082110963705506
29825044.pdf,0.9081188079253092
31273310.pdf,0.9074051556324124
15233524.pdf,0.9073727379995902
32385553.pdf,0.905751352516543
13199813.pdf,0.9048402223012081
13888506.pdf,0.9046131595157992
13574264.pdf,0.903714914739741
36805025.pdf,0.9036810894288227
12377803.pdf,0.9036283369658873
17602815.pdf,0.903373141027054
27219200.pdf,0.9032789893859886
18293620.pdf,0.9024181609608362
22025574.pdf,0.9009993184207997
82118447.pdf,0.900998601786246
28916894.pdf,0.8993180630285
90629382.pdf,0.8992309639749014
40792022.pdf,0.899181750064789
13080868.pdf,0.8984627924788414
26278597.pdf,0.8976128052864778
11551946.pdf,0.8961621863318749
20317319.pdf,0.8957252798050855
47067533.pdf,0.8944698660242261
39237915.pdf,0.8913494957044763
18311419.pdf,0.8908212273909767
37391947.pdf,0.8905020763736887
29908929.pdf,0.8883036614840036
12814706.pdf,0.8875337805264812
95382114.pdf,0.8831391323263613
17730889.pdf,0.8825591093924091
27796199.pdf,0.8813247845446064
25813953.pdf,0.8805311063652433
15423153.pdf,0.8804601349519807
26581830.pdf,0.8780261613081641
14287992.pdf,0.875262091601085
18757174.pdf,0.874592089064649
18236085.pdf,0.8721405879644786
14070138.pdf,0.8714755302095711
76916835.pdf,0.870149829859231
29208172.pdf,0.8695038647878277
32042584.pdf,0.8683201851863926
16846478.pdf,0.8656625401592919
35673335.pdf,0.8629539138843988
24412546.pdf,0.8606639205860711
89197180.pdf,0.8515156945403619
38007664.pdf,0.8478917402986939
27937592.pdf,0.8447345305949985
22423839.pdf,0.8396462742230717
14825300.pdf,0.8357564748972837
19738730.pdf,0.8344339554245768
27850777.pdf,0.8332964874055597
10704573.pdf,0.8185206612129701
17421910.pdf,0.8088958200893442
23568641.pdf,0.8006655209459911
24964303.pdf,0.7944598649775849
17115815.pdf,0.794429629940341
98379112.pdf,0.7825330894558574
36574147.pdf,0.7795548135012078
14990354.pdf,0.7793627081595309
14752209.pdf,0.7721938132759634
30938994.pdf,0.7672959008529322
25370801.pdf,0.7614355138985545
28337049.pdf,0.7519932090291971
33424600.pdf,0.7516704195644842
36170003.pdf,0.7417967522655515
32531824.pdf,0.7007710240458571
14241621.pdf,0.6974316280923398
39875803.pdf,0.6924469634068249
18937778.pdf,0.6641157497815857
12632728.pdf,-0.030239677865914104
