PDF File Name,Cosine Similarity
60489316.pdf,0.4274173835429349
11065180.pdf,0.42071414684333214
35483925.pdf,0.4188285127668312
17276884.pdf,0.415398123706226
89049979.pdf,0.4152125084048175
96493528.pdf,0.4134619501172966
21796843.pdf,0.4097597825445427
17818707.pdf,0.4090122053948704
18457785.pdf,0.40727349651216316
26673507.pdf,0.4068355931312266
22615491.pdf,0.4045563301003903
54421668.pdf,0.4042467567454764
27884470.pdf,0.4039358423108386
29552167.pdf,0.4033369268715776
68781345.pdf,0.40255707302631105
11842348.pdf,0.4018394905674463
14391434.pdf,0.40176938961858977
24580361.pdf,0.4015453257937892
25624652.pdf,0.4012214766165242
99124477.pdf,0.4011967958608099
79041971.pdf,0.3987798354461471
70667011.pdf,0.3981647407361734
21297521.pdf,0.39773006426729296
19437318.pdf,0.39665174599287856
33135102.pdf,0.39642327532228677
34758680.pdf,0.3959151217611799
17396388.pdf,0.3951342246614507
14626780.pdf,0.39477608790353114
11773925.pdf,0.39360812688899705
33370664.pdf,0.3931557650046491
18208580.pdf,0.3920673622684968
73157997.pdf,0.3916801954131148
38897568.pdf,0.39137927518309434
18369400.pdf,0.39135787523798615
25200253.pdf,0.39106949778177724
17823436.pdf,0.3898757240878822
60182829.pdf,0.38961646708330916
25162378.pdf,0.3882557519354243
17131084.pdf,0.38820827653307993
25780596.pdf,0.38819056767432436
30127072.pdf,0.3878275283935398
34953092.pdf,0.3875818501057435
29093426.pdf,0.3874566396240653
28051330.pdf,0.3872810879376421
23323001.pdf,0.38727878691184636
28895997.pdf,0.3869561717288872
29406313.pdf,0.3868067096547461
18805506.pdf,0.386762205251777
34185495.pdf,0.38594907779576937
18824120.pdf,0.38545116691722825
15856762.pdf,0.3847805792899266
27606527.pdf,0.3847157791578375
18172739.pdf,0.38440858118731713
77156708.pdf,0.3841976876659981
39247950.pdf,0.3837648529458586
45167858.pdf,0.38375372242870004
20992320.pdf,0.3832254534770241
21756639.pdf,0.38264059224324476
39569771.pdf,0.382167698021756
20850529.pdf,0.38184657388625654
72876163.pdf,0.38154052718441983
32980197.pdf,0.3814266023714441
13393401.pdf,0.38142243849889523
43375498.pdf,0.38133472749333863
17189156.pdf,0.38124646555624525
19920687.pdf,0.3809791868739213
26579709.pdf,0.3799647155122414
13982572.pdf,0.3799558837911957
31710562.pdf,0.37960532736615715
11262933.pdf,0.37914967324228427
16407619.pdf,0.3791363927335572
35564026.pdf,0.37909695193814275
33872500.pdf,0.37861451860860795
28419927.pdf,0.3785802727136116
19149865.pdf,0.3785568088122576
29839396.pdf,0.3783997491281268
10329506.pdf,0.377706749060966
18278509.pdf,0.37613594468215206
25080805.pdf,0.37531604557887255
30713796.pdf,0.3753128265515947
26987539.pdf,0.3750825784788373
34783330.pdf,0.37495273501687437
33286293.pdf,0.37453548975858414
13173522.pdf,0.37445137833230335
87867370.pdf,0.37387796262419326
69243180.pdf,0.37387149705354267
98965485.pdf,0.373782102235158
28989677.pdf,0.37235179012324615
17213671.pdf,0.3721213925883106
21856577.pdf,0.3719650365138774
16300459.pdf,0.37121464395077564
98348532.pdf,0.3695204339605946
19911786.pdf,0.36946325092579724
11266906.pdf,0.36945030356290137
64589506.pdf,0.36713495968204796
21645690.pdf,0.36696306575690096
19176318.pdf,0.3668657619744756
11637468.pdf,0.3656636276267108
18645964.pdf,0.3640238241759623
41651672.pdf,0.36391227652636104
27120528.pdf,0.3604349575259243
15553584.pdf,0.3600881091857652
39142536.pdf,0.3578715640379647
19374660.pdf,0.3552338113727307
74552449.pdf,0.3537846455162965
71422121.pdf,0.35248475318537087
3547447.pdf,0.3521704096797134
11672279.pdf,0.35131577906515254
35492909.pdf,0.34675009951285035
36905896.pdf,0.34591399861668853
36302399.pdf,0.3436314762788001
31025785.pdf,0.34216221736585906
65864767.pdf,0.34181504048722
10909673.pdf,0.33710571120371235
12021752.pdf,0.3325049242104017
