PDF File Name,Cosine Similarity
12632728.pdf,0.4126034399886755
14241621.pdf,0.39771811802768253
28337049.pdf,0.3955561082666451
30938994.pdf,0.3895815127749682
33424600.pdf,0.38251327446762945
98379112.pdf,0.374157198232994
38007664.pdf,0.36667987358495785
14825300.pdf,0.36571829053400373
14990354.pdf,0.36183068162016674
95382114.pdf,0.3615341979386923
89197180.pdf,0.35846100326444796
18937778.pdf,0.35759659111354314
19738730.pdf,0.35704684189000147
67501448.pdf,0.3536462792787603
17730889.pdf,0.35316862684500283
13574264.pdf,0.351298868705043
14752209.pdf,0.3494455516167958
23568641.pdf,0.34685377710445553
27850777.pdf,0.3462623667890222
13199813.pdf,0.3454555793714632
36574147.pdf,0.3447207471537844
20553895.pdf,0.3443599298120577
25370801.pdf,0.34254959919445427
39875803.pdf,0.3420574641884411
14055971.pdf,0.341743588079358
90629382.pdf,0.3402875062067272
14861855.pdf,0.340055331901439
14287992.pdf,0.3399068172955211
15423153.pdf,0.3393348968983181
17421910.pdf,0.3392975432296975
24964303.pdf,0.33889340513059524
19557384.pdf,0.33797595906618266
26896699.pdf,0.33773194665296713
25397102.pdf,0.33734097979778316
39237915.pdf,0.3358336653918018
29825044.pdf,0.33572987049960734
10541358.pdf,0.33545480616231643
20748929.pdf,0.33531024188828695
38688388.pdf,0.3331009641703618
16519708.pdf,0.33195734891240253
27139412.pdf,0.3319524013207215
27375577.pdf,0.33184337702526306
12059198.pdf,0.3317974474797523
26278597.pdf,0.3314096379106167
11289482.pdf,0.3312107358297401
17597372.pdf,0.33117371682976876
79759716.pdf,0.3309385022844141
17115815.pdf,0.3298662402340834
27796199.pdf,0.3281190804769774
12546838.pdf,0.32809427437363253
65708020.pdf,0.3278878202039105
20357858.pdf,0.32690531229864594
29208172.pdf,0.32665489920077034
26581830.pdf,0.32605136361383547
22025574.pdf,0.326030621723289
12230301.pdf,0.3259014367807389
34797369.pdf,0.3252923617772638
13888506.pdf,0.32529222040225353
27937592.pdf,0.3244352414993465
10228751.pdf,0.32375185522021177
61677751.pdf,0.32369511998244727
27213082.pdf,0.32336285368008777
77576845.pdf,0.3228491331396616
29908929.pdf,0.3227438849910726
37391947.pdf,0.3225480752218501
31273310.pdf,0.32234157243404404
47067533.pdf,0.32216214008374056
16694152.pdf,0.3220844065841603
31813535.pdf,0.32156771851928573
11551946.pdf,0.3208939489645941
15811992.pdf,0.32060686686315903
22765255.pdf,0.3205120589112132
10704573.pdf,0.3204488875066236
20427934.pdf,0.3202160640002699
36170003.pdf,0.31987766941996076
18293620.pdf,0.31903759683621186
28916894.pdf,0.3185448648647552
91467795.pdf,0.31824232407026176
27219200.pdf,0.3176997535969954
34046031.pdf,0.3173086341400878
59696315.pdf,0.31729167651359713
24647386.pdf,0.3172539048699943
32531824.pdf,0.3164187627017526
20317319.pdf,0.31546911201018346
31638814.pdf,0.31372249541774566
16091352.pdf,0.3135073187236838
29014805.pdf,0.31343163329958157
37521676.pdf,0.31307461187396424
10501991.pdf,0.3129575541702807
13080868.pdf,0.3128311382760594
27004930.pdf,0.31273858695713885
23396633.pdf,0.31232989376808046
20633855.pdf,0.3117720363449033
32042584.pdf,0.3102152003438821
12377803.pdf,0.31012093940400065
81310245.pdf,0.3100811241635247
12814706.pdf,0.31006978138869723
80275976.pdf,0.30871763041881867
25813953.pdf,0.30827314799086747
36805025.pdf,0.30769142312016656
15233524.pdf,0.30670369595038294
76916835.pdf,0.3064349782797439
18757174.pdf,0.30292597624939305
14871762.pdf,0.30255511983815503
14070138.pdf,0.30151255346105693
17095812.pdf,0.3005056651735633
35673335.pdf,0.3001811193166193
40792022.pdf,0.2995223642485087
17602815.pdf,0.29945615286585237
22423839.pdf,0.29750545115571253
82118447.pdf,0.297145899188644
18311419.pdf,0.2964351534624345
16846478.pdf,0.29491733371551676
11088337.pdf,0.2911506954177125
10289113.pdf,0.29036941735290445
32385553.pdf,0.2844943435607576
14726000.pdf,0.2815911644036062
18236085.pdf,0.27972506304435496
10235211.pdf,0.27678808939311683
24412546.pdf,0.2600697786717736
