PDF File Name,Cosine Similarity
16492045.pdf,0.414900278685351
27710853.pdf,0.409149480581011
89512321.pdf,0.4047246257465854
18589927.pdf,0.40449838931958226
13964744.pdf,0.40146204463994634
30709029.pdf,0.3986945362806872
45077654.pdf,0.3972475416727796
31064969.pdf,0.3959741104187076
24727739.pdf,0.3957664731229452
11183737.pdf,0.39146313217753853
38707449.pdf,0.39091951655324986
26829350.pdf,0.3881959248921739
41152404.pdf,0.38230982413327563
79261033.pdf,0.3766841029870388
69097572.pdf,0.37097757022108563
19362586.pdf,0.3659345294018353
23933031.pdf,0.36278971926185477
63158213.pdf,0.3612212354341068
95625660.pdf,0.3558149729520092
15573418.pdf,0.35025695436058313
15145575.pdf,0.34842526882600555
57706851.pdf,0.3423997249819318
